country,tls13,ipv6,http3,iqi_p50,region
SR,70.31514698113207,40.90039152830188,25.450631660377358,7.424080226415094,Other
SS,68.55216979245283,17.265400490566037,21.417744056603773,5.009277716981132,Other
ST,62.77666054716981,3.0552746603773584,24.004391811320755,6.203136188679245,Other
SV,69.79476611320754,16.505828471698113,25.89725688679245,9.364139113207548,Other
SX,66.17258449056604,26.950765811320753,27.42112216981132,11.367964603773585,Other
SY,72.09705443396226,0.44976541509433965,17.414255641509435,3.4246065660377356,Other
SZ,69.71766928301888,2.0075764150943396,25.059742150943396,11.320069886792453,Other
TC,67.29621064150943,23.621335000000002,27.300370377358494,12.96527758490566,Other
TD,66.80693556603774,12.40270062264151,18.072781584905663,3.595321716981132,Other
TF,80.73054713207547,97.99547528301886,0.636372924528302,65.206349,Other
TG,61.80710958490566,20.477238150943396,22.838055811320753,4.875031754716981,Other
TH,62.45566309433963,42.53935258490566,32.68882203773585,27.46944747169811,APAC-Em
TJ,60.66719501886792,0.3317985849056604,28.666634584905662,4.085156905660377,Other
TK,67.8693707735849,33.694910830188675,22.796822773584903,4.5377866,Other
TL,57.027679849056604,6.265428018867924,31.173505849056603,4.727249283018868,Other
TM,62.79689541509434,0.024096830188679245,35.288951245283016,6.385601583333333,Other
TN,58.95651366037736,16.89418845283019,34.63249505660377,9.403827754716982,Africa
TO,69.29046994339622,28.374768264150944,25.180899490566038,6.318749301886792,Other
TR,64.6877351509434,15.299316547169813,25.50939396226415,13.502528150943396,MENA
TT,61.04383958490566,23.84074150943396,29.071805735849058,8.54705313207547,Other
TV,70.22971566037737,61.537958811320756,22.295280358490565,7.703437522727273,Other
TW,60.94427218867924,37.09967267924529,30.877710471698116,27.563149,APAC-Dev
TZ,63.39914279245283,1.1538548113207547,26.677403132075472,5.160236320754717,Africa
UA,56.469850283018864,9.715099943396227,34.435783037735845,15.481448056603774,EU-East
UG,64.16794479245283,2.018935283018868,28.74605296226415,6.04398262264151,Africa
UM,62.74372296226415,93.6318385471698,24.25051383018868,,Other
US,74.4217040754717,29.137216320754717,16.18097766037736,25.245442018867923,NA
