country_iso2,mk_z_TLS 1.3,mk_p_TLS 1.3,trend_TLS 1.3,mk_z_IPv6,mk_p_IPv6,trend_IPv6,mk_z_HTTP/3,mk_p_HTTP/3,trend_HTTP/3,mk_z_bw_p50,mk_p_bw_p50,trend_bw_p50
ES,1.9560292145861318,0.05046171269764832,=,-7.601666477077869,2.930988785010413e-14,↓,1.5418112632620098,0.12311946423625697,=,-5.46921109803887,4.520430985088808e-08,↓
ET,-0.8207651998459454,0.4117800244863532,=,1.6798839137033836,0.09297990420672297,=,2.002053431399923,0.04527898525165397,↑,-5.622625154084841,1.8807721380298403e-08,↓
EU,,,=,,,=,,,=,,,=
FI,0.6826925494045715,0.49480113868669484,=,0.16108475884826967,0.8720266441543705,=,0.8821308222643339,0.3777060660380749,=,-4.855554873854986,1.20050102969671e-06,↓
FJ,0.25313319247585236,0.8001652900501464,=,2.8765135508619584,0.004020949304190946,↑,1.695225319307981,0.09003268554817412,=,-5.331138447597496,9.759897379169047e-08,↓
FK,-5.530576720457259,3.191796604795627e-08,↓,3.4748283694412456,0.0005111802966899504,↑,4.56406816736764,5.017177614696777e-06,↑,0.43795912116108715,0.6614159170078631,=
FM,1.0969105007286934,0.27268051796390647,=,5.975477482990575,2.294172185557386e-09,↑,-0.007670702802298556,0.9938797246827726,=,-2.4776370051424337,0.013225562185666062,↓
FO,0.9588378502873195,0.3376404379947564,=,-1.0662276895194993,0.2863207280567761,=,-0.8514480110551397,0.3945205313784821,=,-2.5850268443746134,0.009737141596922516,↓
FR,5.070334552319346,3.971170070560248e-07,↑,-0.3605230317080321,0.7184560361979844,=,-4.042460376811339,5.289325282520352e-05,↓,-4.211215838461907,2.539999157669115e-05,↓
GA,6.58913370717446,4.423994504065831e-11,↑,-3.3214143133952745,0.0008956247828433295,↓,-3.137317446140109,0.0017050141395489327,↓,-3.1526588517447065,0.0016179076570415063,↓
GB,7.75508053312384,8.881784197001252e-15,↑,0.5292784933586003,0.5966122725318255,=,-6.006160294199769,1.8996839656892917e-09,↓,-4.824872062645792,1.4009316511298664e-06,↓
GD,7.141424308939955,9.237055564881302e-13,↑,6.2823055950825175,3.3358826811991094e-10,↑,-5.852746238153798,4.835216005361076e-09,↓,-6.359012623105503,2.0305468417802786e-10,↓
GE,1.1122519063332905,0.2660298558888321,=,-1.4957870464482184,0.1347091580059112,=,5.7913806157354095,6.981017319773741e-09,↑,-4.870896279459583,1.1109314956847527e-06,↓
GF,1.6338596968895924,0.1022883140440114,=,-1.8026151585401606,0.0714486747101466,=,-2.216833109864283,0.02663449804818474,↓,-2.0173948370045203,0.0436543256418489,↓
GG,4.778847845832001,1.7630254363076858e-06,↑,-4.30326427208949,1.6829990043820686e-05,↓,-4.103825999229727,4.0637314714819794e-05,↓,-3.5361939918596343,0.00040593648612596844,↓
GH,-2.677075278002196,0.007426794652667379,↓,8.675564869399667,0.0,↑,4.901579090668777,9.506935991776544e-07,↑,-5.806722021340007,6.370777683173401e-09,↓
GI,-4.518043950553849,6.2413530961258346e-06,↓,-0.26847459808044943,0.7883340251699353,=,1.8793221865631462,0.060200514047473064,=,-5.177724391551525,2.2460871296203777e-07,↓
GL,4.702140817809015,2.5744784089010153e-06,↑,-3.075951823721721,0.0020983174567126284,↓,-2.5850268443746134,0.009737141596922516,↓,-2.784465117234376,0.005361608786552896,↓
GM,1.9713706201907288,0.04868149903082375,↑,6.451061056733085,1.1106982000796961e-10,↑,1.8026151585401606,0.0714486747101466,=,-4.165191621648116,3.1109116248817514e-05,↓
GN,2.6157096555838075,0.008904223754602869,↑,5.7913806157354095,6.981017319773741e-09,↑,-1.2349831511700675,0.21683677483819386,=,-4.671458006599821,2.9906924678968494e-06,↓
GP,2.631051061188405,0.008512124590267511,↑,3.6896080479056055,0.00022459982298439485,↑,-3.39812134141826,0.0006785031847860168,↓,-3.9810947543929505,6.859859472996277e-05,↓
GQ,-0.74405817182296,0.4568412830585631,=,8.629540652585876,0.0,↑,5.89877045496759,3.662202985310614e-09,↑,-5.7453563989216185,9.172757442499346e-09,↓
GR,4.211215838461907,2.539999157669115e-05,↑,4.502702544949252,6.709476008559534e-06,↑,-0.6366683325907802,0.524340904960763,=,-6.696523546406639,2.1343593559208784e-11,↓
GS,-1.4420921268321285,0.14927638583104397,=,-0.19943827285976246,0.8419199243657252,=,1.4037386128206357,0.1603966997994828,=,,,=
GT,-2.4622955995378364,0.013805083591489353,↓,3.4288041526274546,0.000606246825564094,↑,5.530576720457259,3.191796604795627e-08,↑,-4.671458006599821,2.9906924678968494e-06,↓
GU,3.7509736703239938,0.00017614919860342582,↑,-1.1429347175424849,0.2530656967798055,=,-3.39812134141826,0.0006785031847860168,↓,-4.4720197337400585,7.748427512943579e-06,↓
GW,1.7719323473309665,0.07640578806163556,=,7.202789931358344,5.899725152858082e-13,↑,2.692416683606793,0.007093625697574879,↑,5.837404832549201,5.302015937402871e-09,↑
GY,1.4804456408436213,0.1387543574386687,=,3.8276806983469793,0.00012935641337463721,↑,1.6645425080987866,0.09600406362021618,=,-6.190257161454935,6.006612984776893e-10,↓
HK,8.169298484447962,2.220446049250313e-16,↑,4.88623768506418,1.0278110831318799e-06,↑,-1.8026151585401606,0.0714486747101466,=,-7.080058686521567,1.4408474413585282e-12,↓
HM,,,=,,,=,,,=,,,=
HN,-0.05369491961608989,0.9571782305235512,=,7.248814148172135,4.2033043712308427e-13,↑,3.6589252366964113,0.0002532752087838208,↑,-4.594750978576835,4.332663667838688e-06,↓
HR,-3.8583635095561735,0.00011414878604165679,↓,6.788571980034222,1.1324940984991372e-11,↑,7.494276637845689,6.661338147750939e-14,↑,-2.3088815434918653,0.0209501554287157,↓
HT,3.367438530209066,0.0007586993804027387,↑,6.742547763220431,1.556332840380037e-11,↑,5.085675957923942,3.6631903044259673e-07,↑,-5.975477482990575,2.294172185557386e-09,↓
HU,1.035544878310305,0.30041451913660144,=,2.92253776767575,0.0034719151159052775,↑,-0.40654724852182345,0.6843405479672062,=,-5.438528286829676,5.3722481574425274e-08,↓
ID,-0.9895206614965137,0.32240846602254414,=,8.967051575887012,0.0,↑,5.668649370898633,1.4392756320091848e-08,↑,-5.331138447597496,9.759897379169047e-08,↓
IE,9.457976555234119,0.0,↑,4.686799412204418,2.775107141195221e-06,↑,0.6673511437999744,0.5045478651788504,=,-1.7565909417263692,0.07898755806415148,=
IL,3.198683068558498,0.0013805684852219446,↑,-5.668649370898633,1.4392756320091848e-08,↓,1.7719323473309665,0.07640578806163556,=,-4.364629894507878,1.2733816624477257e-05,↓
IM,-4.916920496273375,8.791623513637603e-07,↓,-1.1275933119378878,0.2594917125180196,=,-0.5599613045677946,0.5755058318124051,=,-3.9810947543929505,6.859859472996277e-05,↓
IN,-2.4316127883286422,0.015031767431668897,↓,-4.502702544949252,6.709476008559534e-06,↓,6.773230574429625,1.2593703857533e-11,↑,-5.868087643758395,4.408502229935607e-09,↓
IO,2.469966302340135,0.013512578026322997,↑,3.144988148942408,0.0016609355812848836,↑,5.653307965294036,1.5738893743844073e-08,↑,,,=
IQ,3.643583831091814,0.0002688680270372945,↑,-0.8361066054505426,0.4030949326790576,=,-2.569685438770016,0.01017908964767944,↓,-4.763506440227403,1.9025753559276382e-06,↓
IR,3.2753900965814835,0.0010551616106673212,↑,-3.106634634930915,0.0018923011756801777,↓,-2.1708088930504914,0.02994562142969448,↓,-2.155467487445894,0.031125270190097032,↓
IS,-0.5906441157769888,0.5547588993597332,=,-5.392504070015884,6.948252528893306e-08,↓,2.1094432706321027,0.034906337842179,↑,-0.9434964446827224,0.34542703297903743,=
IT,-5.116358769133137,3.114903206480335e-07,↓,4.548726761763044,5.397146540797593e-06,↑,7.141424308939955,9.237055564881302e-13,↑,-5.822063426944604,5.81254799847386e-09,↓
JE,5.346479853202093,8.968125819741601e-08,↑,-2.5543440331654192,0.010638808060664084,↓,-3.4134627470228573,0.0006414292719272296,↓,-3.7202908591147996,0.00019899347089347152,↓
JM,1.0202034727057079,0.30763197099955253,=,2.032736242609117,0.042079177608167706,↑,-1.8639807809585491,0.06232440333404421,=,-6.251622783873323,4.062095104728769e-10,↓
JO,-1.1122519063332905,0.2660298558888321,=,4.824872062645792,1.4009316511298664e-06,↑,1.173617528751679,0.2405482569382471,=,-4.364629894507878,1.2733816624477257e-05,↓
JP,4.149850216043519,3.3269290620863146e-05,↑,0.03835351401149278,0.9694058241330255,=,-1.848639375353952,0.06450990304137028,=,-5.9908188885951725,2.0878705431215394e-09,↓
KE,1.3730558016114416,0.1697349998905091,=,2.1861502986550883,0.028804611096681976,↑,5.20840720276072,1.9046856691851133e-07,↑,-5.315797041992899,1.0619146162405002e-07,↓
KG,-6.15957435024574,7.29407201305321e-10,↓,-3.904387726369965,9.446423285930372e-05,↓,6.0368431054089635,1.5715839740693127e-09,↑,-5.300455636388302,1.155140330055815e-07,↓
KH,-7.1107414977307615,1.1541878564003127e-12,↓,-1.8332979697493548,0.06675827115815913,=,7.770421938728437,7.771561172376096e-15,↑,-3.4748283694412456,0.0005111802966899504,↓
KI,-2.4929784107470305,0.01266765483420973,↓,1.173617528751679,0.2405482569382471,=,4.548726761763044,5.397146540797593e-06,↑,-2.8611721452573615,0.0042207780256908745,↓
KM,3.6589252366964113,0.0002532752087838208,↑,5.0089689299009565,5.472240551807062e-07,↑,1.5111284520528154,0.13075572693624382,=,-2.155467487445894,0.031125270190097032,↓
KN,5.0089689299009565,5.472240551807062e-07,↑,-4.057801782415936,4.9536783862436096e-05,↓,-3.075951823721721,0.0020983174567126284,↓,-3.935070537579159,8.317226500786923e-05,↓
KP,3.1219760405355124,0.001796415578576127,↑,4.502702544949252,6.709476008559534e-06,↑,-2.539002627560822,0.011116898833438693,↓,,,=
KR,0.9588378502873195,0.3376404379947564,=,-5.054993146714748,4.3040622399459494e-07,↓,2.4469541939332395,0.014406914748071653,↑,-6.021501699804366,1.7280621378290562e-09,↓
KW,4.456678328135461,8.323936086851447e-06,↑,-2.8611721452573615,0.0042207780256908745,↓,-4.088484593625131,4.342003778168291e-05,↓,-6.727206357615834,1.729505427761069e-11,↓
KY,3.3060729077906776,0.0009461346580292851,↑,-4.978286118691763,6.414977875568439e-07,↓,-2.002053431399923,0.04527898525165397,↓,-3.1833416629539006,0.0014558571384550856,↓
KZ,1.311690179193053,0.18962469171893925,=,6.8652790080572075,6.636247107394411e-12,↑,0.3912058429172264,0.6956450897588282,=,-5.68399077650323,1.3158737655061259e-08,↓
LA,-2.8458307396527642,0.004429573284446819,↓,1.0048620671011108,0.31496327215665465,=,3.520852586255037,0.0004301616841932976,↑,-3.889046320765368,0.00010063891040990036,↓
LB,-1.296348773588456,0.19485535211455973,=,3.137317446140109,0.0017050141395489327,↑,1.1122519063332905,0.2660298558888321,=,-1.188958934356276,0.23445582701718637,=
LC,3.214024474163095,0.001308885163825213,↑,3.61290101988262,0.0003027903084371619,↑,-1.296348773588456,0.19485535211455973,=,-4.656116600995223,3.2222948671556395e-06,↓
LI,0.023012108406895666,0.9816406143955174,=,-5.484552503643467,4.145173648772982e-08,↓,-1.035544878310305,0.30041451913660144,=,-2.953220578884944,0.0031447716462931208,↓
LK,-0.6213269269861831,0.534384540289309,=,-6.006160294199769,1.8996839656892917e-09,↓,3.3060729077906776,0.0009461346580292851,↑,-3.4134627470228573,0.0006414292719272296,↓
LR,-0.759399577427557,0.44761356623021253,=,7.893153183565214,2.886579864025407e-15,↑,6.95732744168479,3.467892639719139e-12,↑,-5.622625154084841,1.8807721380298403e-08,↓
