date,iqi_latency_p25,iqi_latency_p50,iqi_latency_p75,country_alpha2,country,year,month
2025-09-15 00:00:00+00:00,139.158472,171.943823,254.234375,AS,ASM,2025,9
2025-09-22 00:00:00+00:00,103.0,106.0,127.0,AS,ASM,2025,9
2025-09-29 00:00:00+00:00,102.108228,117.390239,141.451976,AS,ASM,2025,9
2025-10-06 00:00:00+00:00,57.0,72.0,120.0,AS,ASM,2025,10
2025-10-13 00:00:00+00:00,109.817528,119.488642,144.99013,AS,ASM,2025,10
2025-10-20 00:00:00+00:00,100.75,111.5,144.0,AS,ASM,2025,10
2025-10-27 00:00:00+00:00,135.846313,166.186963,252.907884,AS,ASM,2025,10
2025-11-03 00:00:00+00:00,145.0369,175.527534,264.750794,AS,ASM,2025,11
2025-12-08 00:00:00+00:00,,,,AS,ASM,2025,12
2025-11-10 00:00:00+00:00,44.553105,52.559641,65.331291,AS,ASM,2025,11
2025-11-17 00:00:00+00:00,148.5,163.0,198.5,AS,ASM,2025,11
2025-11-24 00:00:00+00:00,134.919098,157.435138,208.761689,AS,ASM,2025,11
2025-12-01 00:00:00+00:00,154.0,155.0,185.0,AS,ASM,2025,12
2024-12-09 00:00:00+00:00,17.134038,24.333659,35.36458,AD,AND,2024,12
2024-12-16 00:00:00+00:00,18.424175,23.856236,34.754445,AD,AND,2024,12
2024-12-23 00:00:00+00:00,19.044737,24.22833,35.523318,AD,AND,2024,12
2024-12-30 00:00:00+00:00,18.391173,24.207795,34.331953,AD,AND,2024,12
2025-01-06 00:00:00+00:00,18.517822,24.457992,35.39338,AD,AND,2025,1
2025-01-13 00:00:00+00:00,18.434118,23.911004,33.544835,AD,AND,2025,1
2025-01-20 00:00:00+00:00,19.197757,26.261338,37.45044,AD,AND,2025,1
2025-01-27 00:00:00+00:00,18.537687,25.727114,36.764625,AD,AND,2025,1
2025-02-03 00:00:00+00:00,20.100276,27.819973,41.108192,AD,AND,2025,2
2025-02-10 00:00:00+00:00,19.909603,27.503327,40.300015,AD,AND,2025,2
2025-02-17 00:00:00+00:00,18.292405,24.146686,34.505935,AD,AND,2025,2
2025-02-24 00:00:00+00:00,19.130407,25.065596,36.629482,AD,AND,2025,2
2025-03-03 00:00:00+00:00,19.075994,23.810028,33.295859,AD,AND,2025,3
2025-03-10 00:00:00+00:00,18.276871,23.894747,33.385254,AD,AND,2025,3
2025-03-17 00:00:00+00:00,18.334994,24.513847,32.639249,AD,AND,2025,3
2025-03-24 00:00:00+00:00,19.560978,25.479922,34.165807,AD,AND,2025,3
2025-03-31 00:00:00+00:00,19.023527,25.887292,33.835294,AD,AND,2025,3
