country,tls13,ipv6,http3,iqi_p50,region,cluster,cluster_label,pc1,pc2
HN,69.76707639622641,16.025882566037733,24.21819850943396,10.807038471698114,Other,0,En transition,-0.31210088483396786,-0.5112722368608172
HR,61.99672650943396,4.850204113207547,28.57715222641509,18.52410345283019,EU-East,0,En transition,0.8871209474078909,0.18139914512493494
HT,66.67346556603773,8.990924886792452,19.51472903773585,6.406976924528301,Other,0,En transition,-0.20528383986155857,-1.034321986601789
HU,68.96418356603773,45.00262073584906,26.86510113207547,27.284644981132075,EU-East,1,En transition,-0.8234965542752661,1.444584640368958
ID,67.81029490566038,16.216915981132075,25.33386275471698,11.972372679245282,APAC-Em,0,En transition,-0.05106796874725662,-0.3168536409417186
IE,70.31196471698114,10.22917720754717,8.191444226415095,30.72809213207547,EU-West,1,En transition,-1.9473461063364685,0.14431226864282404
IL,69.60835388679246,39.18258041509434,23.111021867924528,31.78082137735849,MENA,1,En transition,-1.171288479734858,1.4595075212049058
IM,49.9317788490566,8.56134658490566,13.558752698113206,24.0961310754717,Other,0,En transition,0.6263413688358298,0.5742180506695521
IN,66.8315946226415,64.84600326415095,27.011551094339623,10.425757283018866,APAC-Em,0,En transition,-0.6874628980324295,0.8491697554862296
IO,49.99618690566037,32.99840650943396,14.607459943396227,,Other,0,En transition,0.49423806449666113,0.23046854936861674
IQ,70.74486986792452,2.4724056603773583,22.88748149056604,7.126531886792453,MENA,0,En transition,-0.2069176539187673,-1.1743646923913174
IR,92.70663039622642,3.1035104339622643,2.834406754716981,5.735299226415095,MENA,1,En transition,-4.021023182080445,-2.7457844955557973
IS,65.7418626226415,11.893344226415095,28.53366083018868,18.7276981509434,Other,0,En transition,0.3863633287401814,0.22848274787038717
IT,64.80867722641509,15.215552150943395,29.40237403773585,20.079818849056604,EU-West,0,En transition,0.4661581945822258,0.46590485355723105
JE,62.94515266037736,3.797260264150944,29.205881924528303,33.208672188679245,Other,0,En transition,0.6206461347283572,1.152657184350847
JM,71.7687908490566,17.06327262264151,22.910432811320756,10.948849698113207,Other,0,En transition,-0.6384329399560221,-0.5943178064471822
JO,59.5459061509434,17.53727637735849,32.35062183018868,8.942672849056603,MENA,0,En transition,1.3704454564817197,0.0496823557753142
JP,72.61586620754717,41.32418045283019,22.486143018867924,33.54051069811321,APAC-Dev,1,En transition,-1.5851476465204037,1.501482518204635
KE,67.9700393018868,7.062548471698113,25.666538056603773,6.606334735849057,Africa,0,En transition,0.22108638760758859,-0.9019865169003756
KG,55.518559792452834,4.458636094339623,33.925281226415095,5.609341433962264,Other,0,En transition,2.1922379304618405,-0.29572052851085495
KH,61.460997584905655,0.6690685660377358,32.62444801886792,11.87584571698113,Other,0,En transition,1.4702994554049127,-0.21772777319903144
KI,64.92990726415094,49.012942679245285,25.06563375471698,5.797534056603773,Other,0,En transition,-0.29675193758994245,0.14908758294142926
KM,62.40060669811321,0.5326283962264151,24.9895151509434,4.407952962264151,Other,0,En transition,0.8620521806453916,-1.0323400601720147
KN,65.27766452830188,2.6700095283018865,28.155279226415093,11.29462986792453,Other,0,En transition,0.6950232455731897,-0.5023082333651265
KP,90.62121773584906,73.33846249056604,5.376895886792453,2.1527365,Other,1,En transition,-4.842187204206723,-1.1258759217670293
KR,67.38222950943396,18.765932981132075,27.595226622641512,55.30254726415095,APAC-Dev,1,En transition,-0.5945098561395201,2.8174960412699246
KW,65.35399852830189,23.92874745283019,28.296085773584903,8.27623041509434,MENA,0,En transition,0.35721371956615516,-0.19239582675395406
KY,63.71239784905661,3.1072643773584905,29.57700833962264,17.961778226415095,Other,0,En transition,0.8468177567742134,0.07266038429344203
KZ,59.39216775471698,20.89431803773585,33.36038371698113,6.550708339622641,Other,0,En transition,1.4488666879451884,0.007086769656851799
LA,54.534364396226415,0.6615340377358491,40.35192273584906,9.527223075471698,Other,0,En transition,2.835154962860916,0.13936245845304734
LB,63.96082928301887,0.9630360943396228,30.80919116981132,6.163872433962265,MENA,0,En transition,1.1649683834936724,-0.7568715615147052
LC,64.53775266037736,19.33966637735849,30.01068056603774,7.209886226415094,Other,0,En transition,0.6841147752648115,-0.28804780389762685
LI,67.8544859245283,19.92106490566038,25.022637754716985,41.80324247169811,EU-West,1,En transition,-0.6520020343736773,1.8114063572573822
LK,55.88709760377358,47.20012516981132,39.16707428301887,6.307015150943395,Other,0,En transition,1.797415729128587,0.9560167719805706
LR,71.56411750943396,3.7020419433962255,19.06595016981132,3.66653541509434,Other,0,En transition,-0.5739012106635446,-1.5442192766075773
LS,55.481151830188686,0.6218856226415095,36.81134339622641,9.220262452830188,Other,0,En transition,2.449963172030035,-0.03942575302112213
LT,68.66586652830189,17.202435056603775,23.765195603773584,23.64734767924528,EU-East,0,En transition,-0.4812939257348777,0.42438227558780417
LU,72.38169228301886,20.66102413207547,19.490848094339626,35.83344635849057,EU-West,1,En transition,-1.472060877453048,1.0632650895949556
LV,67.61246790566038,18.213154226415096,26.247772735849058,19.10362662264151,EU-East,0,En transition,-0.11151895701350172,0.26056130531635474
LY,69.55677241509434,1.118406924528302,22.3484460754717,6.407686396226414,Other,0,En transition,-0.10004941722363282,-1.2320371184248107
MA,76.89635505660377,1.041767358490566,17.169384056603775,11.785316981132077,Africa,1,En transition,-1.3390135506804601,-1.3099071745264912
MC,68.88101133962265,3.621276547169812,26.977580094339626,45.93765371698113,Other,0,En transition,-0.3545703837502847,1.7307325308240447
MD,58.941818358490565,10.967527603773584,33.88078930188679,21.890142773584905,Other,0,En transition,1.4620376072100116,0.8553612375601536
ME,64.92366247169811,0.7617551886792453,30.52934037735849,17.231538547169812,Other,0,En transition,0.8654124079323163,-0.04553453969212991
MF,65.13937541509434,42.76460586792453,30.667001698113204,11.306043461538462,Other,0,En transition,0.17915327332517147,0.5622026871832382
MG,60.70197856603773,6.748055018867924,28.90416224528302,6.456351169811321,Other,0,En transition,1.208325862250102,-0.5438707459524523
MH,60.207970622641504,19.62910522641509,33.389512396226415,4.668081754716981,Other,0,En transition,1.4272292020161053,-0.1816608338387316
MK,56.37919383018868,0.7887924150943396,37.55787686792453,17.786988641509435,Other,0,En transition,2.278699974251726,0.5467117157747908
ML,68.63529696226415,9.16984516981132,18.10682416981132,4.46389520754717,Other,0,En transition,-0.48526023125325957,-1.2835202158919727
MM,72.36231047169811,9.956776773584906,15.11704716981132,9.470098886792451,APAC-Em,1,En transition,-1.1983650197541613,-1.1590398297163933
MN,56.39362179245283,36.39778594339622,38.5039831509434,9.327585188679246,Other,0,En transition,1.8411480317125108,0.8604973234792995
MO,59.21068152830189,38.33577252830189,33.58080503773585,56.4685951509434,Other,0,En transition,0.3228245428473878,3.875872798418758
MP,63.09224633962264,43.90236573584906,31.749259943396225,9.0523262,Other,0,En transition,0.48614477967224623,0.5466468646904759
MQ,62.934295094339625,7.837385433962265,32.84963988679245,10.012320905660378,Other,0,En transition,1.245168002188285,-0.2178533170374817
MR,66.95961333962265,1.4312757924528303,24.903160867924527,6.565362924528301,Other,0,En transition,0.3594385184360373,-1.0309501103304675
MS,77.79412643396226,34.496389056603775,15.976178,9.63986742857143,Other,1,En transition,-2.1094638017358176,-0.7202835348947592
MT,66.04543716981132,1.1727162641509434,25.37605288679245,15.171376811320757,EU-West,0,En transition,0.3481132558185943,-0.3960001058624308
MU,57.07551405660378,1.6342337169811318,35.939991886792455,9.292395490566038,Other,0,En transition,2.2016769187705743,-0.09798494912007728
MV,64.52074494339622,15.05404916981132,30.45233079245283,8.644601094339622,Other,0,En transition,0.7781947257503646,-0.27742645609741307
MW,61.86364930188679,1.9580435849056603,27.711339264150944,4.595703245283019,Other,0,En transition,1.1146637124921015,-0.8713363722552747
MX,73.54633945283018,44.21349460377359,22.611006509433963,15.967526283018868,,1,En transition,-1.4226773367739498,0.33389616864182087
MY,65.1740331509434,56.43054509433962,27.696158226415093,20.56182494339623,APAC-Em,0,En transition,-0.48367509075901316,1.425914173065111
MZ,64.87454401886792,3.5232511698113207,25.486766113207548,5.419501698113208,Africa,0,En transition,0.5916892283383547,-0.9630577596872876
NC,59.653092849056605,9.908026094339624,34.46602916981132,16.738212094339623,Other,0,En transition,1.548737047270201,0.469851017891045
NE,61.936935207547165,13.070186396226417,14.995909754716982,3.5933796792452832,Other,0,En transition,-0.15562866464503913,-1.112782605293377
NF,62.25430183018868,43.44847626415094,23.87846196226415,2.8089908,Other,0,En transition,0.01572666026854363,-0.1350042099513364
NG,76.1102399245283,4.648260981132076,16.397907981132075,4.201300735849056,Africa,1,En transition,-1.2670234179337168,-1.7419442235464258
NI,69.92477879245283,35.84645566037736,25.898884566037733,8.040667905660378,Other,0,En transition,-0.5053195840515017,-0.16865991875495928
NL,76.75278520754718,14.638513773584906,11.144413226415097,36.56960498113207,EU-West,1,En transition,-2.5026110197358524,0.5206639975859583
NO,65.34779728301886,34.40184930188679,28.76221049056604,33.71260713207547,EU-West,0,En transition,-0.22436709511572778,1.8265207856100711
NP,62.949696396226415,51.23108347169811,30.65441962264151,13.437812867924528,Other,0,En transition,0.1981645694065278,0.9931593887879766
NR,55.37988852830189,52.05627109433962,30.287772188679245,30.818328708333336,Other,0,En transition,0.594096190874314,2.470558960748452
NU,65.19018669811321,21.005146037735848,28.98930941509434,6.226502666666666,Other,0,En transition,0.5202355451638754,-0.3742807129108204
NZ,63.7590627735849,21.75932958490566,30.842321471698117,25.583965735849056,APAC-Dev,0,En transition,0.476107477493283,1.0908315586882904
OM,67.90831018867925,20.213979396226414,25.611763075471696,12.970174773584906,Other,0,En transition,-0.1277874217744066,-0.14532667517026052
